Term code,Term,Course number,Course title,Course section number,Instruction mode,Total enrollment
1082,Jan-08,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,1
1082,Jan-08,GALA13196,Galactic Archaeology,GALA13196_3,In-Person,17
1084,Spring 2008,GALA13196,Galactic Archaeology,GALA13196_1,Online,1
1086,Summer 2008,GALA13196,Galactic Archaeology,GALA13196_1,Online Hybrid,47
1086,Summer 2008,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,25
1088,Fall 2008,GALA13196,Galactic Archaeology,GALA13196_1,Independent Studies,24
1088,Fall 2008,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,10
1088,Fall 2008,GALA13196,Galactic Archaeology,GALA13196_3,In-Person,1
1092,Jan-09,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1092,Jan-09,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,1
1092,Jan-09,GALA13196,Galactic Archaeology,GALA13196_3,Online,189
1094,Spring 2009,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1096,Summer 2009,GALA13196,Galactic Archaeology,GALA13196_1,Online,18
1096,Summer 2009,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,70
1098,Fall 2009,GALA13196,Galactic Archaeology,GALA13196_1,Online Hybrid,1
1098,Fall 2009,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,47
1102,Jan-10,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1102,Jan-10,GALA13196,Galactic Archaeology,GALA13196_2,Online Hybrid,84
1104,Spring 2010,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,157
1104,Spring 2010,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,119
1104,Spring 2010,GALA13196,Galactic Archaeology,GALA13196_3,In-Person,14
1106,Summer 2010,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1108,Fall 2010,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,78
1108,Fall 2010,GALA13196,Galactic Archaeology,GALA13196_2,Online,1
1112,Jan-11,GALA13196,Galactic Archaeology,GALA13196_1,Online Hybrid,166
1112,Jan-11,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,54
1114,Spring 2011,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1114,Spring 2011,GALA13196,Galactic Archaeology,GALA13196_2,Blended (Online & In-Person),1
1116,Summer 2011,GALA13196,Galactic Archaeology,GALA13196_1,Independent Studies,84
1116,Summer 2011,GALA13196,Galactic Archaeology,GALA13196_2,Online,56
1118,Fall 2011,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,58
1118,Fall 2011,GALA13196,Galactic Archaeology,GALA13196_2,Blended (Online & In-Person),1
1118,Fall 2011,GALA13196,Galactic Archaeology,GALA13196_3,In-Person,1
1122,Jan-12,GALA13196,Galactic Archaeology,GALA13196_1,Online,65
1122,Jan-12,GALA13196,Galactic Archaeology,GALA13196_2,Online,1
1122,Jan-12,GALA13196,Galactic Archaeology,GALA13196_3,Online Hybrid,17
1124,Spring 2012,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1126,Summer 2012,GALA13196,Galactic Archaeology,GALA13196_1,Blended (Online & In-Person),10
1128,Fall 2012,GALA13196,Galactic Archaeology,GALA13196_1,Online,1
1128,Fall 2012,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,43
1128,Fall 2012,GALA13196,Galactic Archaeology,GALA13196_3,Online,1
1132,Jan-13,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,90
1132,Jan-13,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,53
1134,Spring 2013,GALA13196,Galactic Archaeology,GALA13196_1,Online,2
1134,Spring 2013,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,18
1136,Summer 2013,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,42
1138,Fall 2013,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1138,Fall 2013,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,79
1138,Fall 2013,GALA13196,Galactic Archaeology,GALA13196_3,In-Person,67
1142,Jan-14,GALA13196,Galactic Archaeology,GALA13196_1,Online,1
1142,Jan-14,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,52
1144,Spring 2014,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1144,Spring 2014,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,1
1146,Summer 2014,GALA13196,Galactic Archaeology,GALA13196_1,Online,1
1146,Summer 2014,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,92
1148,Fall 2014,GALA13196,Galactic Archaeology,GALA13196_1,Online,72
1152,Jan-15,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,50
1152,Jan-15,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,120
1152,Jan-15,GALA13196,Galactic Archaeology,GALA13196_3,In-Person,1
1154,Spring 2015,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1154,Spring 2015,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,118
1156,Summer 2015,GALA13196,Galactic Archaeology,GALA13196_1,Online,23
1156,Summer 2015,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,1
1158,Fall 2015,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,83
1158,Fall 2015,GALA13196,Galactic Archaeology,GALA13196_2,Online Hybrid,16
1158,Fall 2015,GALA13196,Galactic Archaeology,GALA13196_3,Independent Studies,87
1162,Jan-16,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,41
1162,Jan-16,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,1
1164,Spring 2016,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1166,Summer 2016,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,60
1166,Summer 2016,GALA13196,Galactic Archaeology,GALA13196_2,Independent Studies,1
1168,Fall 2016,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1168,Fall 2016,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,1
1168,Fall 2016,GALA13196,Galactic Archaeology,GALA13196_3,In-Person,76
1172,Jan-17,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,139
1174,Spring 2017,GALA13196,Galactic Archaeology,GALA13196_1,Blended (Online & In-Person),127
1174,Spring 2017,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,1
1174,Spring 2017,GALA13196,Galactic Archaeology,GALA13196_3,In-Person,44
1176,Summer 2017,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1176,Summer 2017,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,17
1176,Summer 2017,GALA13196,Galactic Archaeology,GALA13196_3,In-Person,22
1178,Fall 2017,GALA13196,Galactic Archaeology,GALA13196_1,Online,165
1178,Fall 2017,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,96
1182,Jan-18,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1182,Jan-18,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,36
1182,Jan-18,GALA13196,Galactic Archaeology,GALA13196_3,In-Person,22
1184,Spring 2018,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,34
1184,Spring 2018,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,30
1186,Summer 2018,GALA13196,Galactic Archaeology,GALA13196_1,Online,1
1186,Summer 2018,GALA13196,Galactic Archaeology,GALA13196_2,Online,1
1186,Summer 2018,GALA13196,Galactic Archaeology,GALA13196_3,In-Person,1
1188,Fall 2018,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,134
1192,Jan-19,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1192,Jan-19,GALA13196,Galactic Archaeology,GALA13196_2,Online,65
1192,Jan-19,GALA13196,Galactic Archaeology,GALA13196_3,In-Person,1
1194,Spring 2019,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,25
1196,Summer 2019,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,6
1196,Summer 2019,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,1
1198,Fall 2019,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,83
1198,Fall 2019,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,182
1202,Jan-20,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,77
1202,Jan-20,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,44
1204,Spring 2020,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,25
1206,Summer 2020,GALA13196,Galactic Archaeology,GALA13196_1,Online,211
1206,Summer 2020,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,1
1208,Fall 2020,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,24
1208,Fall 2020,GALA13196,Galactic Archaeology,GALA13196_2,Independent Studies,1
1208,Fall 2020,GALA13196,Galactic Archaeology,GALA13196_3,Online,1
1212,Jan-21,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,19
1214,Spring 2021,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,156
1214,Spring 2021,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,146
1214,Spring 2021,GALA13196,Galactic Archaeology,GALA13196_3,Online Hybrid,1
1216,Summer 2021,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,1
1218,Fall 2021,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,39
1222,Jan-22,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,21
1222,Jan-22,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,1
1224,Spring 2022,GALA13196,Galactic Archaeology,GALA13196_1,Blended (Online & In-Person),1
1224,Spring 2022,GALA13196,Galactic Archaeology,GALA13196_2,Independent Studies,1
1224,Spring 2022,GALA13196,Galactic Archaeology,GALA13196_3,Online,61
1226,Summer 2022,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,174
1226,Summer 2022,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,1
1226,Summer 2022,GALA13196,Galactic Archaeology,GALA13196_3,Independent Studies,82
1228,Fall 2022,GALA13196,Galactic Archaeology,GALA13196_1,In-Person,43
1232,Jan-23,GALA13196,Galactic Archaeology,GALA13196_1,Online Hybrid,8
1232,Jan-23,GALA13196,Galactic Archaeology,GALA13196_2,In-Person,58
1232,Jan-23,GALA13196,Galactic Archaeology,GALA13196_3,Online Hybrid,5
1234,Spring 2023,GALA13196,Galactic Archaeology,GALA13196_1,Blended (Online & In-Person),27
904,Spring 1990,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
904,Spring 1990,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,124
904,Spring 1990,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,93
906,Summer 1990,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
908,Fall 1990,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
908,Fall 1990,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
914,Spring 1991,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,108
914,Spring 1991,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,27
916,Summer 1991,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
916,Summer 1991,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,61
918,Fall 1991,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,4
918,Fall 1991,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
924,Spring 1992,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
926,Summer 1992,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,77
926,Summer 1992,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
928,Fall 1992,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,79
934,Spring 1993,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,33
934,Spring 1993,EXTR38630,Extragalactic Objects,EXTR38630_2,Blended (Online & In-Person),48
934,Spring 1993,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,55
936,Summer 1993,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,235
936,Summer 1993,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
938,Fall 1993,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
938,Fall 1993,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,47
944,Spring 1994,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,103
946,Summer 1994,EXTR38630,Extragalactic Objects,EXTR38630_1,Blended (Online & In-Person),86
946,Summer 1994,EXTR38630,Extragalactic Objects,EXTR38630_2,Online Hybrid,1
948,Fall 1994,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
954,Spring 1995,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,57
954,Spring 1995,EXTR38630,Extragalactic Objects,EXTR38630_2,Independent Studies,27
956,Summer 1995,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,79
958,Fall 1995,EXTR38630,Extragalactic Objects,EXTR38630_1,Blended (Online & In-Person),125
958,Fall 1995,EXTR38630,Extragalactic Objects,EXTR38630_2,Independent Studies,1
964,Spring 1996,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
966,Summer 1996,EXTR38630,Extragalactic Objects,EXTR38630_1,Independent Studies,95
966,Summer 1996,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
968,Fall 1996,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
974,Spring 1997,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,130
974,Spring 1997,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
974,Spring 1997,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,5
976,Summer 1997,EXTR38630,Extragalactic Objects,EXTR38630_1,Online Hybrid,30
976,Summer 1997,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,128
976,Summer 1997,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,1
978,Fall 1997,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
978,Fall 1997,EXTR38630,Extragalactic Objects,EXTR38630_2,Blended (Online & In-Person),144
984,Spring 1998,EXTR38630,Extragalactic Objects,EXTR38630_1,Blended (Online & In-Person),5
984,Spring 1998,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,31
986,Summer 1998,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
986,Summer 1998,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
986,Summer 1998,EXTR38630,Extragalactic Objects,EXTR38630_3,Online,102
988,Fall 1998,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
994,Spring 1999,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,95
994,Spring 1999,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,94
994,Spring 1999,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,50
996,Summer 1999,EXTR38630,Extragalactic Objects,EXTR38630_1,Online Hybrid,1
996,Summer 1999,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,77
998,Fall 1999,EXTR38630,Extragalactic Objects,EXTR38630_1,Independent Studies,138
1004,Spring 2000,EXTR38630,Extragalactic Objects,EXTR38630_1,Online Hybrid,120
1004,Spring 2000,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1004,Spring 2000,EXTR38630,Extragalactic Objects,EXTR38630_3,Online Hybrid,67
1006,Summer 2000,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,127
1006,Summer 2000,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,6
1006,Summer 2000,EXTR38630,Extragalactic Objects,EXTR38630_3,Independent Studies,1
1008,Fall 2000,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,83
1008,Fall 2000,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1014,Spring 2001,EXTR38630,Extragalactic Objects,EXTR38630_1,Online Hybrid,72
1014,Spring 2001,EXTR38630,Extragalactic Objects,EXTR38630_2,Blended (Online & In-Person),1
1014,Spring 2001,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,99
1016,Summer 2001,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,93
1016,Summer 2001,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1018,Fall 2001,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,114
1024,Spring 2002,EXTR38630,Extragalactic Objects,EXTR38630_1,Independent Studies,209
1024,Spring 2002,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1024,Spring 2002,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,53
1026,Summer 2002,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,53
1026,Summer 2002,EXTR38630,Extragalactic Objects,EXTR38630_2,Independent Studies,17
1028,Fall 2002,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
1034,Spring 2003,EXTR38630,Extragalactic Objects,EXTR38630_1,Online Hybrid,141
1036,Summer 2003,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,50
1038,Fall 2003,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,132
1044,Spring 2004,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1046,Summer 2004,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1046,Summer 2004,EXTR38630,Extragalactic Objects,EXTR38630_2,Blended (Online & In-Person),1
1048,Fall 2004,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,103
1054,Spring 2005,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
1054,Spring 2005,EXTR38630,Extragalactic Objects,EXTR38630_2,Online,1
1054,Spring 2005,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,5
1056,Summer 2005,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1058,Fall 2005,EXTR38630,Extragalactic Objects,EXTR38630_1,Blended (Online & In-Person),47
1058,Fall 2005,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,152
1064,Spring 2006,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
1064,Spring 2006,EXTR38630,Extragalactic Objects,EXTR38630_2,Online,31
1066,Summer 2006,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1066,Summer 2006,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,85
1068,Fall 2006,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
1068,Fall 2006,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1068,Fall 2006,EXTR38630,Extragalactic Objects,EXTR38630_3,Online,80
1074,Spring 2007,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,128
1074,Spring 2007,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1074,Spring 2007,EXTR38630,Extragalactic Objects,EXTR38630_3,Online Hybrid,1
1076,Summer 2007,EXTR38630,Extragalactic Objects,EXTR38630_1,Independent Studies,46
1076,Summer 2007,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,94
1078,Fall 2007,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
1078,Fall 2007,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,31
1078,Fall 2007,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,93
1082,Jan-08,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1082,Jan-08,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,109
1084,Spring 2008,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
1084,Spring 2008,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,32
1084,Spring 2008,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,76
1086,Summer 2008,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,80
1086,Summer 2008,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1088,Fall 2008,EXTR38630,Extragalactic Objects,EXTR38630_1,Blended (Online & In-Person),1
1092,Jan-09,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,41
1092,Jan-09,EXTR38630,Extragalactic Objects,EXTR38630_2,Online Hybrid,1
1094,Spring 2009,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,131
1094,Spring 2009,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,9
1096,Summer 2009,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,25
1098,Fall 2009,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,82
1102,Jan-10,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,162
1102,Jan-10,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,226
1104,Spring 2010,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
1104,Spring 2010,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1104,Spring 2010,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,33
1106,Summer 2010,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1106,Summer 2010,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1108,Fall 2010,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1108,Fall 2010,EXTR38630,Extragalactic Objects,EXTR38630_2,Independent Studies,109
1112,Jan-11,EXTR38630,Extragalactic Objects,EXTR38630_1,Independent Studies,99
1112,Jan-11,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1114,Spring 2011,EXTR38630,Extragalactic Objects,EXTR38630_1,Independent Studies,154
1116,Summer 2011,EXTR38630,Extragalactic Objects,EXTR38630_1,Independent Studies,47
1116,Summer 2011,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,34
1118,Fall 2011,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,7
1118,Fall 2011,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,144
1118,Fall 2011,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,34
1122,Jan-12,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,115
1124,Spring 2012,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,35
1126,Summer 2012,EXTR38630,Extragalactic Objects,EXTR38630_1,Blended (Online & In-Person),1
1126,Summer 2012,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,44
1128,Fall 2012,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1128,Fall 2012,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1132,Jan-13,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1132,Jan-13,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1132,Jan-13,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,1
1134,Spring 2013,EXTR38630,Extragalactic Objects,EXTR38630_1,Independent Studies,57
1134,Spring 2013,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,79
1134,Spring 2013,EXTR38630,Extragalactic Objects,EXTR38630_3,Online Hybrid,1
1136,Summer 2013,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,43
1136,Summer 2013,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,87
1136,Summer 2013,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,41
1138,Fall 2013,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,101
1138,Fall 2013,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1142,Jan-14,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,52
1144,Spring 2014,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1144,Spring 2014,EXTR38630,Extragalactic Objects,EXTR38630_2,Online Hybrid,1
1144,Spring 2014,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,80
1146,Summer 2014,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,132
1146,Summer 2014,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1146,Summer 2014,EXTR38630,Extragalactic Objects,EXTR38630_3,Blended (Online & In-Person),1
1148,Fall 2014,EXTR38630,Extragalactic Objects,EXTR38630_1,Online,1
1152,Jan-15,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,17
1154,Spring 2015,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,141
1156,Summer 2015,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,83
1156,Summer 2015,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,52
1156,Summer 2015,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,29
1158,Fall 2015,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1158,Fall 2015,EXTR38630,Extragalactic Objects,EXTR38630_2,Independent Studies,122
1158,Fall 2015,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,1
1162,Jan-16,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,89
1162,Jan-16,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,80
1164,Spring 2016,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,44
1164,Spring 2016,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,13
1164,Spring 2016,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,1
1166,Summer 2016,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1166,Summer 2016,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,56
1166,Summer 2016,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,63
1168,Fall 2016,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1168,Fall 2016,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,1
1168,Fall 2016,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,1
1172,Jan-17,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,2
1172,Jan-17,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,154
1174,Spring 2017,EXTR38630,Extragalactic Objects,EXTR38630_1,Blended (Online & In-Person),1
1176,Summer 2017,EXTR38630,Extragalactic Objects,EXTR38630_1,Independent Studies,36
1176,Summer 2017,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,40
1176,Summer 2017,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,24
1178,Fall 2017,EXTR38630,Extragalactic Objects,EXTR38630_1,Blended (Online & In-Person),1
1178,Fall 2017,EXTR38630,Extragalactic Objects,EXTR38630_2,Online,35
1182,Jan-18,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1182,Jan-18,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,13
1182,Jan-18,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,77
1184,Spring 2018,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1186,Summer 2018,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,68
1186,Summer 2018,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,158
1186,Summer 2018,EXTR38630,Extragalactic Objects,EXTR38630_3,In-Person,1
1188,Fall 2018,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1192,Jan-19,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1192,Jan-19,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,94
1194,Spring 2019,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,1
1194,Spring 2019,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,74
1194,Spring 2019,EXTR38630,Extragalactic Objects,EXTR38630_3,Online,1
1196,Summer 2019,EXTR38630,Extragalactic Objects,EXTR38630_1,In-Person,50
1196,Summer 2019,EXTR38630,Extragalactic Objects,EXTR38630_2,In-Person,108
