Fake ID,Academic plan code,Academic plan,Degree,Career number,Admit term code,Admit term,Total transferred units,Start effective term code,Start effective term,Completion term code,End effective term code,Semesters,Degree awarded
204,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),1,1148,Fall 2014,41,1148,Fall 2014,1196,1196,19,BA
204,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),2,1138,Fall 2013,19,1138,Fall 2013,1152,1152,5,
205,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1108,Fall 2010,44,1108,Fall 2010,1114,1114,2,AA
205,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),2,1104,Spring 2010,38,1104,Spring 2010,1122,1122,7,AAS
206,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1158,Fall 2015,31,1158,Fall 2015,1184,1184,10,AAS
206,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),2,1208,Fall 2020,55,1208,Fall 2020,1246,1246,15,
207,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1124,Spring 2012,22,1124,Spring 2012,1162,1162,15,AAS
208,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),1,1116,Summer 2011,45,1116,Summer 2011,1134,1134,7,AA
209,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1006,Summer 2000,0,1006,Summer 2000,1038,1038,13,
210,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),1,1138,Fall 2013,37,1138,Fall 2013,1148,1148,4,
211,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),1,1188,Fall 2018,38,1188,Fall 2018,1204,1204,6,BS
211,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),2,986,Summer 1998,28,986,Summer 1998,994,994,3,AA
212,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1144,Spring 2014,12,1144,Spring 2014,1202,1202,23,BA
212,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),2,1126,Summer 2012,28,1126,Summer 2012,1158,1158,13,BA
213,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),1,1138,Fall 2013,20,1138,Fall 2013,1144,1144,2,AAS
214,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1134,Spring 2013,16,1134,Spring 2013,1156,1156,9,AA
214,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),2,1154,Spring 2015,27,1154,Spring 2015,1158,1158,2,
215,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1088,Fall 2008,27,1088,Fall 2008,1096,1096,3,AAS
216,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1178,Fall 2017,26,1178,Fall 2017,1216,1216,15,AA
216,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),2,1114,Spring 2011,0,1114,Spring 2011,1116,1116,1,BS
216,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),3,974,Spring 1997,3,974,Spring 1997,992,992,7,BA
217,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),1,1148,Fall 2014,39,1148,Fall 2014,1208,1208,24,
217,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),2,1204,Spring 2020,0,1204,Spring 2020,1264,1264,24,
217,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),3,1034,Spring 2003,13,1034,Spring 2003,1072,1072,15,
218,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),1,1124,Spring 2012,36,1124,Spring 2012,1152,1152,11,
218,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),2,1198,Fall 2019,50,1198,Fall 2019,1234,1234,14,BA
218,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),3,1168,Fall 2016,9,1168,Fall 2016,1208,1208,16,
219,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),1,1118,Fall 2011,2,1118,Fall 2011,1122,1122,1,AAS
219,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),2,1178,Fall 2017,23,1178,Fall 2017,1188,1188,4,
219,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),3,1078,Fall 2007,0,1078,Fall 2007,1112,1112,13,
220,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1028,Fall 2002,15,1028,Fall 2002,1046,1046,7,AAS
220,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),2,1164,Spring 2016,33,1164,Spring 2016,1202,1202,15,
221,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1056,Summer 2005,0,1056,Summer 2005,1106,1106,20,
222,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,1168,Fall 2016,22,1168,Fall 2016,1206,1206,15,
223,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1178,Fall 2017,57,1178,Fall 2017,1186,1186,3,AA
224,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1124,Spring 2012,57,1124,Spring 2012,1156,1156,13,
225,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1188,Fall 2018,14,1188,Fall 2018,1194,1194,2,AAS
225,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),2,1076,Summer 2007,22,1076,Summer 2007,1138,1138,25,
225,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),3,1108,Fall 2010,0,1108,Fall 2010,1146,1146,15,AA
226,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),1,1218,Fall 2021,22,1218,Fall 2021,1246,1246,11,
227,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1164,Spring 2016,12,1164,Spring 2016,1184,1184,8,
228,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,1178,Fall 2017,14,1178,Fall 2017,1202,1202,9,
228,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),2,1228,Fall 2022,35,1228,Fall 2022,1232,1232,1,
228,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),3,938,Fall 1993,50,938,Fall 1993,978,978,16,
229,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1088,Fall 2008,53,1088,Fall 2008,1118,1118,12,
229,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),2,1228,Fall 2022,8,1228,Fall 2022,1258,1258,12,
229,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),3,1018,Fall 2001,38,1018,Fall 2001,1044,1044,10,
230,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1018,Fall 2001,30,1018,Fall 2001,1028,1028,4,
230,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),2,934,Spring 1993,25,934,Spring 1993,972,972,15,
230,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),3,1104,Spring 2010,15,1104,Spring 2010,1138,1138,14,AAS
231,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,964,Spring 1996,26,964,Spring 1996,1006,1006,17,
231,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),2,1158,Fall 2015,40,1158,Fall 2015,1194,1194,14,BS
232,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),1,1116,Summer 2011,0,1116,Summer 2011,1126,1126,4,
232,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),2,928,Fall 1992,2,928,Fall 1992,976,976,19,BA
232,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),3,1158,Fall 2015,2,1158,Fall 2015,1172,1172,5,
233,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1174,Spring 2017,27,1174,Spring 2017,1184,1184,4,AAS
233,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),2,1158,Fall 2015,22,1158,Fall 2015,1196,1196,15,BS
234,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,1014,Spring 2001,1,1014,Spring 2001,1054,1054,16,BA
234,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),2,1098,Fall 2009,30,1098,Fall 2009,1116,1116,7,
235,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1156,Summer 2015,0,1156,Summer 2015,1178,1178,9,BA
235,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),2,1126,Summer 2012,29,1126,Summer 2012,1152,1152,10,
235,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),3,1114,Spring 2011,15,1114,Spring 2011,1126,1126,5,AA
236,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),1,1104,Spring 2010,25,1104,Spring 2010,1112,1112,3,AAS
236,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),2,1154,Spring 2015,55,1154,Spring 2015,1172,1172,7,
236,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),3,1076,Summer 2007,63,1076,Summer 2007,1098,1098,9,BS
237,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),1,1154,Spring 2015,35,1154,Spring 2015,1182,1182,11,
237,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),2,1214,Spring 2021,50,1214,Spring 2021,1238,1238,10,
238,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1158,Fall 2015,19,1158,Fall 2015,1162,1162,1,
238,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),2,1044,Spring 2004,0,1044,Spring 2004,1064,1064,8,AAS
238,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),3,1088,Fall 2008,47,1088,Fall 2008,1124,1124,14,
239,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),1,1158,Fall 2015,4,1158,Fall 2015,1182,1182,9,
239,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),2,1218,Fall 2021,5,1218,Fall 2021,1248,1248,12,
240,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1064,Spring 2006,49,1064,Spring 2006,1074,1074,4,
240,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),2,1168,Fall 2016,16,1168,Fall 2016,1182,1182,5,
240,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),3,1046,Summer 2004,24,1046,Summer 2004,1112,1112,26,BS
241,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),1,1208,Fall 2020,47,1208,Fall 2020,1226,1226,7,AA
241,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),2,1208,Fall 2020,0,1208,Fall 2020,1216,1216,3,
242,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),1,974,Spring 1997,29,974,Spring 1997,978,978,2,
242,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),2,1094,Spring 2009,51,1094,Spring 2009,1104,1104,4,AAS
242,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),3,1234,Spring 2023,48,1234,Spring 2023,1236,1236,1,
243,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),1,1096,Summer 2009,28,1096,Summer 2009,1124,1124,11,
244,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),1,1086,Summer 2008,26,1086,Summer 2008,1112,1112,10,
245,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),1,1208,Fall 2020,57,1208,Fall 2020,1242,1242,13,
245,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),2,1158,Fall 2015,43,1158,Fall 2015,1202,1202,17,BS
246,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1076,Summer 2007,24,1076,Summer 2007,1084,1084,3,
247,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),1,928,Fall 1992,45,928,Fall 1992,938,938,4,
247,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),2,1148,Fall 2014,28,1148,Fall 2014,1176,1176,11,AAS
247,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),3,1234,Spring 2023,70,1234,Spring 2023,1294,1294,24,BS
248,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),1,1158,Fall 2015,0,1158,Fall 2015,1174,1174,6,BA
249,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1094,Spring 2009,7,1094,Spring 2009,1096,1096,1,AAS
250,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1204,Spring 2020,0,1204,Spring 2020,1212,1212,3,AAS
250,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),2,1114,Spring 2011,27,1114,Spring 2011,1142,1142,11,BS
250,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),3,1234,Spring 2023,34,1234,Spring 2023,1252,1252,7,AAS
251,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1108,Fall 2010,36,1108,Fall 2010,1116,1116,3,
252,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1024,Spring 2002,26,1024,Spring 2002,1052,1052,11,BS
253,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1038,Fall 2003,34,1038,Fall 2003,1058,1058,8,AA
253,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),2,1138,Fall 2013,45,1138,Fall 2013,1164,1164,10,
253,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),3,1188,Fall 2018,34,1188,Fall 2018,1212,1212,9,
254,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),1,1178,Fall 2017,35,1178,Fall 2017,1188,1188,4,AA
254,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),2,1098,Fall 2009,23,1098,Fall 2009,1162,1162,25,BS
255,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),1,1174,Spring 2017,31,1174,Spring 2017,1206,1206,13,BS
255,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),2,1158,Fall 2015,64,1158,Fall 2015,1172,1172,5,AAS
255,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),3,1216,Summer 2021,36,1216,Summer 2021,1276,1276,24,BS
256,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),1,1138,Fall 2013,43,1138,Fall 2013,1184,1184,18,BS
256,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),2,1158,Fall 2015,0,1158,Fall 2015,1192,1192,13,
257,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1194,Spring 2019,67,1194,Spring 2019,1202,1202,3,
257,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),2,1158,Fall 2015,32,1158,Fall 2015,1188,1188,12,
258,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1128,Fall 2012,4,1128,Fall 2012,1138,1138,4,
259,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),1,1124,Spring 2012,18,1124,Spring 2012,1134,1134,4,
259,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),2,1184,Spring 2018,71,1184,Spring 2018,1232,1232,19,BA
259,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),3,1178,Fall 2017,3,1178,Fall 2017,1202,1202,9,
260,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1046,Summer 2004,64,1046,Summer 2004,1066,1066,8,
261,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),1,1028,Fall 2002,0,1028,Fall 2002,1034,1034,2,AA
261,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),2,1226,Summer 2022,9,1226,Summer 2022,1236,1236,4,
262,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1108,Fall 2010,52,1108,Fall 2010,1154,1154,18,BS
262,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),2,1184,Spring 2018,8,1184,Spring 2018,1198,1198,6,
262,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),3,1064,Spring 2006,14,1064,Spring 2006,1108,1108,18,
263,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),1,1154,Spring 2015,24,1154,Spring 2015,1196,1196,17,
264,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),1,1184,Spring 2018,9,1184,Spring 2018,1224,1224,16,BS
264,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),2,1164,Spring 2016,67,1164,Spring 2016,1178,1178,6,BS
265,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),1,1124,Spring 2012,24,1124,Spring 2012,1142,1142,7,
266,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1164,Spring 2016,22,1164,Spring 2016,1184,1184,8,AA
266,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),2,1134,Spring 2013,18,1134,Spring 2013,1194,1194,24,BS
266,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),3,1196,Summer 2019,58,1196,Summer 2019,1214,1214,7,AAS
267,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1114,Spring 2011,38,1114,Spring 2011,1146,1146,13,
268,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),1,1144,Spring 2014,7,1144,Spring 2014,1166,1166,9,BS
268,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),2,1188,Fall 2018,10,1188,Fall 2018,1254,1254,26,
269,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),1,1096,Summer 2009,19,1096,Summer 2009,1128,1128,13,BS
269,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),2,1144,Spring 2014,27,1144,Spring 2014,1154,1154,4,BS
269,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),3,1224,Spring 2022,10,1224,Spring 2022,1254,1254,12,
270,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1114,Spring 2011,0,1114,Spring 2011,1144,1144,12,
270,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),2,1184,Spring 2018,0,1184,Spring 2018,1232,1232,19,
271,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),1,1214,Spring 2021,0,1214,Spring 2021,1272,1272,23,
272,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),1,924,Spring 1992,18,924,Spring 1992,988,988,26,BS
272,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),2,1118,Fall 2011,46,1118,Fall 2011,1154,1154,14,
272,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),3,1204,Spring 2020,17,1204,Spring 2020,1224,1224,8,AA
273,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,948,Fall 1994,31,948,Fall 1994,968,968,8,AAS
274,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1218,Fall 2021,0,1218,Fall 2021,1222,1222,1,
274,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),2,954,Spring 1995,18,954,Spring 1995,994,994,16,BS
274,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),3,1198,Fall 2019,42,1198,Fall 2019,1228,1228,12,
275,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),1,1118,Fall 2011,0,1118,Fall 2011,1184,1184,26,BS
276,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1128,Fall 2012,0,1128,Fall 2012,1164,1164,14,AAS
277,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1168,Fall 2016,12,1168,Fall 2016,1192,1192,9,
277,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),2,1124,Spring 2012,54,1124,Spring 2012,1176,1176,21,
278,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,1194,Spring 2019,6,1194,Spring 2019,1254,1254,24,
279,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),1,1106,Summer 2010,0,1106,Summer 2010,1128,1128,9,
280,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1054,Spring 2005,0,1054,Spring 2005,1084,1084,12,
280,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),2,1094,Spring 2009,23,1094,Spring 2009,1118,1118,10,BS
280,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),3,1208,Fall 2020,7,1208,Fall 2020,1242,1242,13,BS
281,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1214,Spring 2021,0,1214,Spring 2021,1238,1238,10,
281,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),2,1118,Fall 2011,0,1118,Fall 2011,1154,1154,14,
282,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),1,1006,Summer 2000,26,1006,Summer 2000,1068,1068,25,BS
282,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),2,1128,Fall 2012,38,1128,Fall 2012,1162,1162,13,AAS
282,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),3,1166,Summer 2016,18,1166,Summer 2016,1184,1184,7,BA
283,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),1,1224,Spring 2022,7,1224,Spring 2022,1274,1274,20,
283,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),2,908,Fall 1990,24,908,Fall 1990,918,918,4,AAS
284,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),1,1176,Summer 2017,29,1176,Summer 2017,1222,1222,18,BA
285,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1204,Spring 2020,22,1204,Spring 2020,1226,1226,9,AAS
285,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),2,1178,Fall 2017,25,1178,Fall 2017,1234,1234,22,
285,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),3,1176,Summer 2017,0,1176,Summer 2017,1236,1236,24,
286,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),1,1154,Spring 2015,59,1154,Spring 2015,1206,1206,21,BA
286,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),2,1148,Fall 2014,28,1148,Fall 2014,1198,1198,20,
287,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1128,Fall 2012,0,1128,Fall 2012,1152,1152,9,AA
288,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1168,Fall 2016,46,1168,Fall 2016,1194,1194,10,AAS
288,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),2,1128,Fall 2012,49,1128,Fall 2012,1164,1164,14,
288,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),3,1218,Fall 2021,0,1218,Fall 2021,1222,1222,1,BA
289,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1124,Spring 2012,27,1124,Spring 2012,1128,1128,2,AA
289,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),2,1106,Summer 2010,59,1106,Summer 2010,1148,1148,17,
289,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),3,1208,Fall 2020,28,1208,Fall 2020,1228,1228,8,
290,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),1,948,Fall 1994,5,948,Fall 1994,1004,1004,22,BS
290,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),2,1234,Spring 2023,46,1234,Spring 2023,1242,1242,3,
290,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),3,1158,Fall 2015,47,1158,Fall 2015,1182,1182,9,
291,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),1,1234,Spring 2023,38,1234,Spring 2023,1264,1264,12,AA
291,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),2,1124,Spring 2012,13,1124,Spring 2012,1178,1178,22,
291,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),3,1134,Spring 2013,21,1134,Spring 2013,1174,1174,16,
292,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),1,1108,Fall 2010,20,1108,Fall 2010,1124,1124,6,
292,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),2,928,Fall 1992,19,928,Fall 1992,948,948,8,
292,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),3,1208,Fall 2020,57,1208,Fall 2020,1216,1216,3,
293,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1208,Fall 2020,52,1208,Fall 2020,1212,1212,1,
293,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),2,1128,Fall 2012,22,1128,Fall 2012,1162,1162,13,BS
293,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),3,1126,Summer 2012,39,1126,Summer 2012,1132,1132,2,AAS
294,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),1,1134,Spring 2013,27,1134,Spring 2013,1156,1156,9,
295,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,964,Spring 1996,32,964,Spring 1996,1006,1006,17,BS
295,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),2,1034,Spring 2003,12,1034,Spring 2003,1044,1044,4,
296,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),1,1126,Summer 2012,32,1126,Summer 2012,1164,1164,15,
297,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1134,Spring 2013,51,1134,Spring 2013,1172,1172,15,
